year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,sale_date,sale_time
2008,Pontiac,G6,Value Leader,Sedan,Automatic,1g2zf57b384264347,OH,43,86815,Burgundy,Gray,remarketing by ge/flagship credit acceptance,5175,6300,2015-06-08,17:00:00
2008,Toyota,Highlander,Sport,SUV,Automatic,jtees43a982005091,NC,22,99123,Gray,Gray,fleet lease remarketing,14600,13300,2015-06-08,02:30:00
2014,Chevrolet,Malibu,LT,Sedan,Automatic,1g11e5sl0ef113518,TN,42,51708,—,Black,santander consumer,12950,13200,2015-06-09,03:30:00
2013,Ford,E-Series Van,E-250,E-Series Van,Automatic,1ftne2ew7dda95641,GA,27,15062,White,Gray,u-haul,18450,17600,2015-06-09,02:30:00
2012,Hyundai,Genesis Coupe,3.8 R-Spec,Genesis Coupe,Automatic,kmhhu6kh7cu078491,FL,36,51027,Black,Brown,hyundai motor finance,14450,15400,2015-06-09,02:30:00
2013,Hyundai,Sonata,SE,Sedan,Automatic,5npec4ac4dh602020,FL,21,47992,Gray,Gray,hyundai motor finance,12400,11500,2015-06-09,02:30:00
2012,Infiniti,M,M37x,Sedan,Automatic,jn1by1ar5cm393076,IL,43,38009,Gray,Black,nissan infiniti lt,24300,24000,2015-06-09,03:00:00
2012,Kia,Sorento,Base,SUV,Automatic,5xykt3a17cg292267,FL,25,17030,Gray,Gray,kia motors finance,15650,13200,2015-06-09,02:30:00
2012,Toyota,Camry,LE,Sedan,Automatic,4t1bf1fk7cu031924,OH,21,45693,Silver,Gray,toyota financial services,11900,10800,2015-06-09,02:30:00
2012,Toyota,Camry,LE,Sedan,Automatic,4t1bf1fk8cu121681,FL,41,42184,Gray,Beige,world omni financial corporation,12050,12300,2015-06-09,02:30:00
2012,Toyota,RAV4,Base,SUV,Automatic,2t3bf4dv7cw212320,OH,37,37816,Blue,Gray,toyota financial services,14450,15200,2015-06-09,02:30:00
2012,Audi,A6,3.0T Premium quattro,Sedan,Automatic,waubgafc4cn007484,WA,32,56692,Black,Black,vw credit  inc/pilot,24200,24750,2015-06-10,05:30:00
2014,Chevrolet,Camaro,SS,Coupe,Automatic,2g1fk1ej1e9125803,TX,29,25834,Red,Gray,avis corporation,27800,27000,2015-06-10,03:00:00
2014,Chevrolet,Tahoe,LTZ,SUV,Automatic,1gnscce06er108028,TX,44,37718,Burgundy,Black,avis corporation,39500,39200,2015-06-10,03:00:00
2012,Ford,F-150,XLT,Supercab,Automatic,1ftfx1ef5cfa18911,NY,44,21713,Blue,Gray,ford motor credit company llc,25800,25500,2015-06-10,02:20:00
2014,Ford,Fusion,SE,Sedan,Automatic,3fa6p0h7xer277842,MO,35,32688,Red,Beige,lease plan usa,13100,13000,2015-06-10,03:30:00
2009,Honda,Accord,EX-L V-6,Sedan,Automatic,5kbcp36859b001149,NC,19,128359,Silver,Black,hendrick honda,8550,10500,2015-06-10,07:00:00
2015,Volkswagen,Golf GTI,Autobahn,Hatchback,Automatic,3vw4t7au7fm039500,NJ,28,14760,Red,Black,enterprise veh exchange/rental,23000,17250,2015-06-10,02:30:00
2012,Volkswagen,Passat,SE,Sedan,Automatic,1vwbh7a3xcc096254,FL,43,20474,White,Tan,vw credit,12600,15200,2015-06-10,02:40:00
2009,Audi,A4,2.0T Premium,Sedan,Automatic,waucf78k49n067417,FL,46,65469,Gray,Beige,reeves import motorcars inc,13300,15200,2015-06-11,02:45:00
2012,Bmw,X5,xDrive35d,SUV,Automatic,5uxzw0c51cl664063,FL,39,48569,White,Gray,coggin bmw treasure coast,30500,30600,2015-06-11,02:45:00
2005,Chevrolet,Impala,LS,Sedan,Automatic,2g1wh52k359342725,VA,28,128750,Gray,Gray,superior wholesalers inc,2400,3600,2015-06-11,02:35:00
2014,Chevrolet,Malibu,LS,Sedan,Automatic,1g11b5sl7ef277129,GA,45,9740,Beige,Beige,bmw alphera/alphera financial services,14200,14200,2015-06-11,03:00:00
2010,Chrysler,Town and Country,Touring,Minivan,Automatic,2a4rr5d14ar206758,GA,2,74045,Blue,Gray,innovative auto llc,8400,8500,2015-06-11,03:00:00
